Category: All categories

Region,stress: (2006)
North Dakota,100
Delaware,96
Wyoming,87
Iowa,82
Indiana,82
South Dakota,80
Kentucky,79
West Virginia,79
New Mexico,77
Maine,77
Wisconsin,75
Oklahoma,74
Mississippi,73
Alabama,72
Tennessee,72
Missouri,72
Nebraska,72
Kansas,71
Rhode Island,70
Pennsylvania,70
Minnesota,70
New Jersey,69
Connecticut,69
Idaho,69
Louisiana,68
Maryland,68
Oregon,68
Arkansas,68
Michigan,67
North Carolina,67
Utah,66
South Carolina,65
Alaska,65
Texas,65
Colorado,64
Ohio,64
District of Columbia,63
Hawaii,63
New Hampshire,62
Virginia,62
Illinois,62
Vermont,61
New York,61
Arizona,60
Montana,59
Massachusetts,59
California,57
Washington,56
Florida,54
Georgia,53
Nevada,50
