Category: All categories

Region,stress: (2011)
South Dakota,100
Indiana,92
North Dakota,92
New Jersey,89
Delaware,88
Wisconsin,88
Rhode Island,88
Connecticut,88
West Virginia,87
Mississippi,87
Pennsylvania,86
Vermont,85
North Carolina,84
Montana,83
Maine,82
Wyoming,81
Tennessee,81
Oregon,81
Idaho,81
Michigan,81
New Mexico,80
Ohio,80
Maryland,79
New Hampshire,79
Arkansas,79
Kentucky,78
Missouri,78
Alabama,77
Florida,77
Illinois,76
Massachusetts,76
Minnesota,76
New York,75
Iowa,75
Georgia,74
Nebraska,74
Virginia,74
Oklahoma,74
California,73
Alaska,72
Louisiana,71
Kansas,70
Washington,69
Texas,69
Utah,68
Hawaii,68
Colorado,67
Arizona,67
South Carolina,63
District of Columbia,63
Nevada,60
