Category: All categories

Region,stress: (2016)
Indiana,100
New Jersey,99
Pennsylvania,98
Vermont,97
South Dakota,96
Connecticut,96
Michigan,95
Virginia,95
Alabama,94
North Dakota,93
Maryland,92
Kansas,92
Ohio,91
Iowa,91
Missouri,91
New York,91
Massachusetts,90
Delaware,90
West Virginia,89
Maine,89
Wisconsin,88
North Carolina,88
Oklahoma,87
Illinois,87
Utah,87
Minnesota,86
Wyoming,86
Arizona,85
Kentucky,85
Tennessee,85
Mississippi,84
Rhode Island,84
Colorado,84
Louisiana,84
Oregon,83
Florida,83
California,82
Montana,82
South Carolina,82
New Hampshire,81
Nebraska,81
Washington,81
Georgia,81
Idaho,80
District of Columbia,79
Texas,78
New Mexico,76
Arkansas,76
Alaska,76
Nevada,74
Hawaii,70
