Category: All categories

Region,stress: (2013)
Delaware,100
Connecticut,99
Indiana,98
Wyoming,97
South Dakota,97
Pennsylvania,96
West Virginia,96
New Jersey,95
Ohio,94
North Dakota,91
Montana,90
Massachusetts,89
Wisconsin,89
New Hampshire,88
Rhode Island,87
Alabama,87
Maine,87
Kentucky,87
Michigan,87
Oklahoma,86
Missouri,86
North Carolina,85
Maryland,85
Tennessee,84
Georgia,84
Vermont,84
Virginia,84
Kansas,83
Iowa,83
New Mexico,83
Minnesota,83
South Carolina,83
California,82
New York,82
Idaho,80
Louisiana,80
Arkansas,80
Mississippi,79
Colorado,79
District of Columbia,78
Nebraska,78
Illinois,77
Utah,77
Arizona,77
Texas,76
Alaska,76
Florida,75
Washington,74
Hawaii,71
Nevada,66
Oregon,58
