Category: All categories

Region,stress: (2012)
South Dakota,100
Tennessee,95
Alabama,95
West Virginia,94
Indiana,93
North Dakota,92
Pennsylvania,91
Rhode Island,90
New Jersey,90
Vermont,89
Kentucky,88
Ohio,87
Maryland,87
Maine,86
Delaware,86
Connecticut,86
Wisconsin,85
Wyoming,85
Oregon,85
New Mexico,84
Virginia,83
Michigan,81
North Carolina,81
Mississippi,80
Idaho,80
South Carolina,79
Minnesota,78
Iowa,78
New Hampshire,77
Missouri,77
Illinois,77
Arkansas,77
Montana,76
Utah,75
Florida,75
Massachusetts,74
Arizona,73
Oklahoma,73
Louisiana,73
Colorado,73
Texas,73
New York,72
California,72
Nebraska,72
Kansas,72
Georgia,71
Hawaii,71
Alaska,70
Washington,68
District of Columbia,68
Nevada,58
