Category: All categories

Region,stress: (2015)
Connecticut,100
Indiana,92
Ohio,91
New Jersey,90
Pennsylvania,89
Maryland,87
Delaware,87
Wisconsin,86
Massachusetts,85
South Dakota,85
Minnesota,84
West Virginia,84
Vermont,83
New Hampshire,83
Kentucky,82
Michigan,82
Alabama,82
Iowa,81
Missouri,81
Maine,81
North Carolina,80
Louisiana,80
Tennessee,79
Rhode Island,79
Mississippi,77
Arizona,77
New York,77
Utah,76
North Dakota,76
Colorado,75
Illinois,74
Georgia,73
Oklahoma,73
Montana,72
Texas,72
Idaho,72
California,72
South Carolina,72
New Mexico,71
Wyoming,71
Florida,70
District of Columbia,70
Arkansas,68
Nebraska,67
Kansas,67
Nevada,65
Alaska,65
Washington,64
Hawaii,63
Virginia,58
Oregon,57
