Category: All categories

Region,stress: (2004)
North Dakota,100
Delaware,82
New Mexico,80
Mississippi,79
Wyoming,77
Nebraska,75
Kentucky,74
Vermont,73
Alaska,73
Indiana,73
Iowa,72
Maine,69
Oklahoma,69
Rhode Island,68
Utah,67
West Virginia,67
New Hampshire,67
Louisiana,66
New Jersey,65
South Dakota,65
Hawaii,64
Tennessee,63
Pennsylvania,63
North Carolina,62
Missouri,62
Minnesota,62
Kansas,62
Wisconsin,62
Michigan,61
Montana,61
Ohio,61
Alabama,60
South Carolina,60
Arkansas,59
Maryland,59
Connecticut,58
Virginia,57
Illinois,57
Idaho,57
Arizona,56
Oregon,55
Colorado,54
Florida,54
Georgia,53
Massachusetts,52
Nevada,50
Washington,50
Texas,50
District of Columbia,50
New York,47
California,45
