Category: All categories

Region,anxiety: (2004)
Vermont,100
Wyoming,88
Delaware,83
West Virginia,83
Maine,80
New Hampshire,80
Rhode Island,78
Connecticut,77
Nebraska,75
Minnesota,74
North Dakota,74
Louisiana,74
Iowa,73
Pennsylvania,72
Maryland,71
New Mexico,69
Massachusetts,69
Wisconsin,69
New Jersey,68
Kentucky,68
Tennessee,68
Alaska,68
Arkansas,67
Michigan,67
Oklahoma,67
Mississippi,67
North Carolina,67
Missouri,66
Indiana,65
Colorado,64
New York,64
Oregon,63
Ohio,62
Washington,62
South Carolina,62
Utah,61
Illinois,61
Alabama,61
Virginia,60
Montana,59
District of Columbia,57
Georgia,57
Hawaii,56
South Dakota,56
Texas,56
Florida,55
Arizona,54
Kansas,49
Idaho,47
California,46
Nevada,41
