Category: All categories

Region,trauma: (2015)
Maine,100
Vermont,93
Massachusetts,93
Alaska,92
Maryland,88
Montana,86
New Mexico,80
Delaware,77
Nebraska,76
North Dakota,72
Wyoming,72
West Virginia,72
Pennsylvania,72
New Hampshire,72
Colorado,71
Connecticut,70
Idaho,67
Oregon,67
South Dakota,67
Ohio,65
District of Columbia,65
Tennessee,65
Rhode Island,65
Mississippi,64
Kansas,64
Kentucky,63
Missouri,63
Indiana,62
Minnesota,62
Oklahoma,62
Arkansas,62
Wisconsin,62
Arizona,61
Louisiana,61
Washington,61
Utah,59
Iowa,59
Florida,59
Illinois,58
California,58
North Carolina,57
South Carolina,56
New York,56
Hawaii,56
Alabama,56
Nevada,55
Michigan,55
Texas,53
Virginia,49
New Jersey,49
Georgia,46
