Category: All categories

Region,trauma: (2016)
Alaska,100
Vermont,98
Maryland,88
Maine,87
Montana,86
North Dakota,83
Colorado,80
Oregon,80
Massachusetts,80
Wyoming,78
Delaware,76
South Dakota,74
Rhode Island,72
Nebraska,72
West Virginia,72
New Mexico,72
New Hampshire,70
District of Columbia,70
Pennsylvania,69
Idaho,69
Connecticut,69
Tennessee,65
Virginia,64
Hawaii,64
Arizona,64
Utah,62
Oklahoma,62
Washington,62
Michigan,61
Minnesota,61
Kansas,61
New York,61
Iowa,61
Wisconsin,60
Ohio,60
Missouri,60
Florida,60
North Carolina,58
Kentucky,57
Mississippi,57
California,57
Louisiana,56
New Jersey,56
Illinois,56
Alabama,55
Arkansas,54
Georgia,54
Texas,54
South Carolina,54
Nevada,52
Indiana,51
