Category: All categories

Region,trauma: (2019)
Vermont,100
District of Columbia,87
Oregon,84
Alaska,79
Maine,77
Maryland,77
Montana,74
Colorado,71
Massachusetts,70
South Dakota,69
Minnesota,69
New Hampshire,68
North Dakota,66
Delaware,65
Idaho,64
Pennsylvania,62
Wisconsin,61
Wyoming,60
Arizona,60
Rhode Island,60
Tennessee,60
Washington,59
West Virginia,59
Illinois,59
Ohio,59
Missouri,59
New Mexico,58
New York,58
Nebraska,58
Utah,57
Kansas,57
Michigan,56
Virginia,56
North Carolina,54
Connecticut,53
California,52
Oklahoma,51
Kentucky,50
Iowa,50
Indiana,50
Arkansas,49
New Jersey,49
Hawaii,49
Louisiana,48
Florida,48
Georgia,48
Texas,47
Mississippi,46
South Carolina,42
Nevada,42
Alabama,41
