Category: All categories

Region,trauma: (2014)
Alaska,100
Vermont,97
Maine,93
Delaware,88
West Virginia,85
Montana,84
Maryland,82
New Mexico,81
Wyoming,79
South Dakota,77
Massachusetts,75
Pennsylvania,75
Nebraska,75
District of Columbia,75
North Dakota,70
Connecticut,68
Tennessee,67
New Hampshire,66
Ohio,65
Rhode Island,65
Idaho,64
Colorado,63
Arkansas,62
Indiana,61
Utah,61
Wisconsin,61
Florida,61
Oklahoma,60
South Carolina,60
Iowa,60
Arizona,60
Kentucky,60
Missouri,59
Alabama,58
Hawaii,58
New York,58
Washington,58
Minnesota,58
California,57
Louisiana,56
Mississippi,56
Illinois,55
Nevada,54
Michigan,53
Oregon,53
North Carolina,53
Texas,52
Virginia,50
Kansas,50
New Jersey,47
Georgia,44
