Category: All categories

Region,Narcissistic personality: (2009)
Delaware,100
Utah,99
Maine,96
Connecticut,95
West Virginia,89
Maryland,87
Indiana,87
Missouri,86
Oregon,85
Arizona,82
Rhode Island,82
Tennessee,82
Alaska,81
New Mexico,81
Oklahoma,80
District of Columbia,78
Kansas,76
Kentucky,71
Wyoming,71
Illinois,69
Idaho,69
South Carolina,68
Mississippi,68
Michigan,67
Massachusetts,67
Alabama,67
Ohio,67
Florida,65
North Carolina,65
Texas,65
New York,65
New Jersey,65
Colorado,65
Minnesota,64
Arkansas,64
Pennsylvania,64
Wisconsin,64
Vermont,62
Georgia,62
Iowa,61
Washington,58
Montana,53
Nebraska,52
Louisiana,52
New Hampshire,50
South Dakota,42
California,42
Nevada,39
Virginia,37
Hawaii,34
North Dakota,21
