Category: All categories

Region,Narcissistic personality: (2019)
Montana,100
Maine,88
New Hampshire,84
West Virginia,82
Rhode Island,82
Idaho,81
Connecticut,77
Arkansas,75
Vermont,72
Oregon,72
Mississippi,71
Kansas,66
Delaware,66
Utah,66
Alabama,66
Iowa,65
Minnesota,65
Wisconsin,64
Maryland,64
Massachusetts,64
Indiana,63
Missouri,63
Kentucky,62
Tennessee,62
Louisiana,61
Michigan,60
Colorado,60
South Carolina,60
Arizona,60
Oklahoma,59
North Carolina,59
New Mexico,59
District of Columbia,59
Alaska,58
Washington,58
Virginia,57
New York,57
Ohio,55
Nebraska,55
Pennsylvania,55
Florida,54
North Dakota,54
Georgia,54
Hawaii,51
Illinois,51
South Dakota,51
New Jersey,49
Texas,48
California,46
Nevada,44
Wyoming,42
