Category: All categories

Region,Narcissistic personality: (2020)
Montana,100
Vermont,98
New Hampshire,96
Rhode Island,91
Connecticut,87
Maine,86
Utah,79
West Virginia,77
New Mexico,75
Delaware,73
Massachusetts,73
Alaska,73
South Dakota,71
Minnesota,70
Oregon,69
Pennsylvania,69
Missouri,69
Arkansas,68
Colorado,66
Hawaii,66
Tennessee,66
Arizona,66
Maryland,65
Kentucky,64
Oklahoma,64
Wisconsin,64
Kansas,64
Mississippi,63
Idaho,63
Illinois,63
New Jersey,62
Washington,62
Virginia,62
North Carolina,62
Indiana,62
Michigan,62
Nebraska,62
North Dakota,62
South Carolina,61
Louisiana,60
Ohio,59
Florida,58
Georgia,57
District of Columbia,56
Iowa,55
New York,54
Alabama,54
Nevada,54
Texas,52
California,52
Wyoming,31
