Category: All categories

Region,Narcissistic personality: (2008)
Vermont,100
South Dakota,91
Delaware,71
Alaska,62
Alabama,56
Oregon,55
Maine,51
Mississippi,51
West Virginia,45
North Dakota,45
Utah,44
Rhode Island,44
Kentucky,43
Missouri,43
Connecticut,43
Indiana,43
Minnesota,41
Massachusetts,41
Louisiana,41
Montana,40
Ohio,40
New Mexico,40
Wisconsin,40
District of Columbia,40
Maryland,40
Washington,38
Illinois,38
Oklahoma,37
North Carolina,36
Pennsylvania,36
Idaho,34
Georgia,34
New Jersey,34
Kansas,34
New York,34
Arkansas,33
Florida,32
South Carolina,32
Iowa,32
Tennessee,32
Nevada,30
Nebraska,30
Michigan,30
Texas,29
Colorado,29
Virginia,29
California,27
Arizona,25
New Hampshire,21
Hawaii,13
Wyoming,
