Category: All categories

Region,Narcissistic personality: (2006)
Vermont,100
Arkansas,81
Iowa,52
New Hampshire,49
South Dakota,44
West Virginia,41
Maryland,39
Maine,39
Virginia,34
Washington,34
Oregon,33
Utah,32
North Dakota,32
Colorado,32
Alabama,30
Idaho,30
Pennsylvania,29
New Jersey,28
Indiana,27
Massachusetts,27
New York,26
Arizona,25
Illinois,24
Ohio,23
North Carolina,23
Florida,23
Tennessee,23
Michigan,22
Missouri,22
Kansas,21
Texas,20
Wisconsin,20
Rhode Island,19
Minnesota,19
Kentucky,19
Georgia,19
Connecticut,19
California,19
Oklahoma,18
Nebraska,18
District of Columbia,18
Louisiana,17
South Carolina,14
Nevada,11
Alaska,
Delaware,
Hawaii,
Mississippi,
Montana,
New Mexico,
Wyoming,
