Category: All categories

Region,Narcissistic personality: (2017)
Maine,100
Montana,90
Vermont,83
North Dakota,74
New Hampshire,72
Indiana,66
Rhode Island,65
New Mexico,63
Minnesota,61
Arkansas,60
Wisconsin,60
South Dakota,60
Louisiana,60
West Virginia,59
Tennessee,58
Oregon,58
Connecticut,58
Massachusetts,58
Wyoming,58
Oklahoma,57
Colorado,57
Nebraska,56
Kentucky,56
Virginia,56
Washington,56
Alaska,56
Maryland,55
Pennsylvania,55
Ohio,54
Iowa,54
Illinois,53
Missouri,53
Utah,53
Idaho,52
Arizona,52
Nevada,52
Delaware,52
North Carolina,51
Hawaii,51
Kansas,51
South Carolina,50
District of Columbia,50
New York,50
Michigan,50
Alabama,48
Florida,47
New Jersey,47
Texas,44
California,43
Georgia,43
Mississippi,42
