Category: All categories

Region,Narcissistic personality: (2010)
Montana,100
New Hampshire,87
South Dakota,69
Minnesota,69
Oregon,68
Arkansas,66
Mississippi,65
Oklahoma,62
Ohio,61
Rhode Island,61
Alabama,61
Maine,60
Colorado,60
Delaware,59
Kentucky,58
Wisconsin,56
Utah,56
Michigan,56
Connecticut,55
Maryland,55
Louisiana,54
Kansas,54
Missouri,54
Washington,54
Nebraska,54
Tennessee,53
New Jersey,53
Pennsylvania,52
Arizona,52
North Carolina,51
Illinois,51
Massachusetts,51
Indiana,50
South Carolina,49
Vermont,49
West Virginia,49
Idaho,49
District of Columbia,48
Alaska,48
New Mexico,47
Texas,46
New York,46
Florida,46
Georgia,44
Nevada,43
Iowa,43
North Dakota,36
California,31
Hawaii,22
Virginia,21
Wyoming,
