Category: All categories

Region,Narcissistic personality: (2015)
South Dakota,100
New Hampshire,98
Montana,93
New Mexico,92
Rhode Island,91
West Virginia,91
North Dakota,91
Delaware,90
Iowa,90
Mississippi,90
Maryland,89
Minnesota,88
Washington,87
Vermont,84
Colorado,84
Maine,82
Massachusetts,82
Pennsylvania,81
Kentucky,78
Missouri,76
Indiana,76
Michigan,74
Louisiana,74
Connecticut,73
Wisconsin,73
Arizona,73
Idaho,72
South Carolina,71
District of Columbia,71
Ohio,71
Arkansas,70
Nevada,69
Illinois,68
New Jersey,68
Oregon,67
Nebraska,66
Tennessee,66
Georgia,65
New York,63
North Carolina,62
Utah,62
Alabama,61
Alaska,60
Oklahoma,60
Florida,59
California,57
Hawaii,51
Texas,51
Kansas,50
Virginia,42
Wyoming,36
