Category: All categories

Region,Obsessive compulsive: (2020)
Wyoming,
South Dakota,
Vermont,
Montana,
Rhode Island,100
Maryland,95
Utah,95
Arkansas,92
Connecticut,92
New Mexico,90
West Virginia,87
Minnesota,87
Maine,87
Kentucky,87
Idaho,85
District of Columbia,
New Jersey,85
North Carolina,82
Michigan,82
Ohio,80
Massachusetts,80
Kansas,77
Alabama,77
Pennsylvania,77
New York,77
Mississippi,77
Arizona,75
Oklahoma,75
New Hampshire,75
Indiana,75
Oregon,75
South Carolina,72
Tennessee,72
Virginia,72
Wisconsin,72
Washington,72
Texas,70
California,70
Missouri,70
Illinois,70
Nevada,70
Georgia,67
Hawaii,
Florida,65
Iowa,65
Nebraska,62
North Dakota,
Louisiana,60
Colorado,57
Delaware,57
Alaska,
