Category: All categories

Region,Obsessive compulsive: (2021)
Rhode Island,100
Vermont,
Arkansas,86
Maine,79
Ohio,77
South Dakota,
Utah,77
North Dakota,
District of Columbia,
Indiana,75
New Mexico,72
West Virginia,72
Louisiana,72
South Carolina,70
Minnesota,70
Connecticut,70
Oregon,70
Kansas,70
Illinois,70
Kentucky,68
Montana,
Maryland,68
Pennsylvania,68
Alabama,65
North Carolina,65
New Hampshire,65
Missouri,65
Oklahoma,65
Iowa,63
Massachusetts,63
Wisconsin,63
Washington,61
Virginia,61
Wyoming,
Hawaii,
Michigan,59
Georgia,59
Arizona,59
New York,59
Texas,56
New Jersey,54
California,54
Florida,54
Nebraska,52
Colorado,52
Delaware,52
Idaho,52
Nevada,52
Mississippi,50
Tennessee,47
Alaska,
