Category: All categories

Region,Obsessive compulsive: (2016)
South Dakota,
Wyoming,
Maine,100
New Jersey,95
Minnesota,93
Oregon,93
Kentucky,91
Wisconsin,91
Rhode Island,91
Indiana,91
Idaho,89
Connecticut,89
North Dakota,
Iowa,87
Arkansas,87
Arizona,85
Maryland,85
South Carolina,85
Delaware,85
Vermont,
Hawaii,
Mississippi,83
Virginia,81
New York,81
New Hampshire,81
New Mexico,79
Ohio,79
Pennsylvania,79
District of Columbia,
North Carolina,77
Illinois,77
Tennessee,75
Washington,75
Massachusetts,75
Missouri,75
Nevada,75
Michigan,75
Nebraska,72
Colorado,72
Utah,70
Oklahoma,70
California,70
Kansas,68
West Virginia,68
Alabama,68
Georgia,66
Louisiana,64
Florida,64
Texas,60
Montana,
Alaska,
