Category: All categories

Region,Obsessive compulsive: (2017)
Minnesota,100
Rhode Island,95
New Hampshire,93
Oregon,91
New Mexico,91
Arkansas,91
Wyoming,
Pennsylvania,89
South Dakota,
New York,89
Alaska,
Missouri,87
Oklahoma,87
Nebraska,87
Maryland,87
Wisconsin,85
Delaware,82
Connecticut,82
Ohio,82
Massachusetts,80
New Jersey,80
Kentucky,80
Utah,78
Tennessee,78
Michigan,78
Mississippi,78
Iowa,76
Indiana,76
Maine,76
Kansas,76
Virginia,76
Arizona,72
Vermont,
North Carolina,72
Idaho,70
Illinois,70
California,68
West Virginia,68
Alabama,65
Georgia,65
Louisiana,65
Washington,65
Colorado,65
Florida,63
Nevada,63
South Carolina,59
Texas,59
Hawaii,
District of Columbia,
Montana,
North Dakota,
