Category: All categories

Region,Obsessive compulsive: (2006)
North Dakota,
Idaho,100
Iowa,95
Kentucky,67
Nebraska,66
Wisconsin,66
Kansas,65
Michigan,63
Wyoming,
Alabama,61
Louisiana,61
Oklahoma,59
West Virginia,59
Ohio,56
Missouri,55
Pennsylvania,55
Rhode Island,54
Minnesota,53
Montana,
South Carolina,53
Indiana,52
Maine,52
New Hampshire,52
Arkansas,52
Alaska,
Washington,51
Illinois,51
Colorado,48
Oregon,47
New Jersey,47
Mississippi,46
New York,45
North Carolina,44
Maryland,44
South Dakota,
Connecticut,42
Vermont,
Virginia,40
Massachusetts,40
California,38
Arizona,38
District of Columbia,
Florida,37
New Mexico,37
Hawaii,
Tennessee,34
Georgia,34
Delaware,34
Texas,33
Utah,29
Nevada,25
