Category: All categories

Region,Obsessive compulsive: (2014)
North Dakota,
New Hampshire,100
Wyoming,
Mississippi,93
New Mexico,92
Vermont,
Indiana,81
West Virginia,77
Connecticut,75
Maine,75
Alaska,
Massachusetts,74
Ohio,73
Pennsylvania,72
Iowa,72
Tennessee,72
Idaho,72
Kentucky,72
New Jersey,69
Nebraska,69
Rhode Island,69
Michigan,69
Nevada,68
Utah,68
Kansas,67
Hawaii,
Maryland,64
Arkansas,64
Missouri,63
Illinois,63
Wisconsin,62
Minnesota,60
Louisiana,60
Washington,60
New York,60
Arizona,60
Alabama,60
South Dakota,
Florida,59
North Carolina,59
California,58
Oklahoma,56
District of Columbia,
South Carolina,54
Colorado,53
Texas,51
Georgia,49
Virginia,45
Montana,
Oregon,45
Delaware,41
