Category: All categories

Region,jumping: (2014)
Montana,100
Vermont,99
Idaho,98
Utah,95
Wyoming,93
New Hampshire,91
Colorado,91
Arkansas,87
Maine,86
Texas,86
Hawaii,85
South Dakota,84
Alaska,83
New Mexico,82
Missouri,82
New Jersey,81
North Dakota,81
Georgia,81
Nebraska,81
Wisconsin,81
Washington,80
Delaware,80
Nevada,79
Pennsylvania,78
Mississippi,78
Ohio,78
North Carolina,77
Michigan,77
Tennessee,76
Rhode Island,76
Iowa,76
Arizona,76
South Carolina,75
Florida,75
West Virginia,74
Louisiana,74
Alabama,74
Illinois,74
Indiana,74
California,74
Massachusetts,73
Minnesota,73
New York,71
Maryland,71
Oklahoma,70
Kansas,70
Connecticut,69
Kentucky,68
District of Columbia,60
Virginia,60
Oregon,46
