Category: All categories

Region,jumping: (2011)
Utah,100
South Dakota,97
New Jersey,91
Idaho,90
Georgia,89
West Virginia,88
Montana,86
North Carolina,86
Virginia,85
New Hampshire,85
Louisiana,84
South Carolina,84
Delaware,83
Kansas,82
Mississippi,82
Hawaii,80
Wyoming,79
Nevada,79
Texas,78
Alabama,78
New Mexico,77
Arizona,77
Maryland,77
Pennsylvania,77
Colorado,75
Vermont,75
Florida,75
Washington,74
New York,74
North Dakota,73
California,73
Maine,73
Michigan,73
Arkansas,72
Kentucky,71
Iowa,71
Alaska,70
Illinois,70
Massachusetts,70
Tennessee,70
Oklahoma,70
Oregon,70
District of Columbia,70
Ohio,69
Connecticut,69
Rhode Island,69
Wisconsin,67
Nebraska,67
Indiana,66
Missouri,64
Minnesota,63
