Category: All categories

Region,jumping: (2017)
Hawaii,100
Montana,92
Colorado,91
Wyoming,90
Texas,90
Vermont,88
Tennessee,86
Georgia,86
Mississippi,85
Alaska,84
Oregon,84
Idaho,84
Wisconsin,84
West Virginia,83
Utah,83
South Carolina,83
South Dakota,81
New Hampshire,80
Maine,79
North Dakota,79
New Mexico,79
Indiana,79
Delaware,79
Washington,78
North Carolina,78
Arizona,78
Pennsylvania,77
Michigan,77
New Jersey,76
Illinois,76
Missouri,76
Virginia,76
California,76
Arkansas,75
New York,74
Alabama,74
Minnesota,74
Ohio,73
Rhode Island,72
Kentucky,72
Louisiana,71
Connecticut,70
Nebraska,70
Massachusetts,69
Nevada,68
Florida,68
Maryland,68
Iowa,66
District of Columbia,64
Oklahoma,64
Kansas,62
