Category: All categories

Region,jumping: (2018)
Texas,100
Wyoming,99
Colorado,95
Vermont,94
South Carolina,91
Hawaii,91
Montana,90
Utah,89
Georgia,88
Idaho,87
Tennessee,86
West Virginia,85
Louisiana,85
Illinois,84
Arizona,83
Maine,83
Mississippi,83
Michigan,82
Alaska,82
Oregon,82
New Hampshire,80
New Mexico,79
Connecticut,79
Alabama,79
Pennsylvania,79
Washington,78
Virginia,78
New Jersey,78
Wisconsin,78
Indiana,77
Missouri,77
Minnesota,77
North Carolina,76
Ohio,75
South Dakota,75
Kentucky,75
Arkansas,74
Maryland,73
Florida,72
North Dakota,71
Delaware,71
Kansas,70
New York,69
California,69
Rhode Island,68
Iowa,68
Massachusetts,67
Nebraska,65
Nevada,64
Oklahoma,64
District of Columbia,54
