Category: All categories

Region,jumping: (2016)
Vermont,100
Colorado,98
Hawaii,96
New Hampshire,94
Idaho,93
Missouri,92
Georgia,92
Texas,91
West Virginia,91
Alaska,91
Indiana,91
Wyoming,91
Tennessee,90
Mississippi,88
New Jersey,88
South Dakota,87
Montana,87
Maine,86
Utah,86
Wisconsin,85
South Carolina,85
Virginia,84
North Carolina,83
Oregon,83
New Mexico,83
Washington,82
Delaware,82
California,82
Connecticut,80
Michigan,80
Rhode Island,80
Arizona,79
Pennsylvania,79
Florida,79
Arkansas,79
Minnesota,79
Illinois,78
Ohio,78
Alabama,78
Maryland,77
Louisiana,77
North Dakota,76
New York,76
Massachusetts,76
Nebraska,75
Kentucky,73
Iowa,72
Kansas,71
Nevada,70
Oklahoma,70
District of Columbia,70
