Category: All categories

Region,jumping: (2010)
Utah,100
Idaho,92
New Hampshire,87
Delaware,86
Maine,84
North Dakota,83
Montana,81
Kansas,79
West Virginia,78
Arizona,78
Nebraska,78
Hawaii,77
Rhode Island,77
Wyoming,77
South Dakota,77
Colorado,75
Iowa,75
Wisconsin,74
Indiana,74
Oregon,73
South Carolina,71
Alaska,71
Missouri,70
Nevada,70
Kentucky,69
Washington,68
North Carolina,67
Tennessee,67
New Mexico,67
Michigan,66
Maryland,66
Texas,65
Mississippi,65
Alabama,65
Connecticut,65
New Jersey,64
Louisiana,63
Minnesota,63
New York,63
Pennsylvania,63
Vermont,62
Ohio,62
Arkansas,61
District of Columbia,60
Florida,58
Oklahoma,58
Georgia,58
Illinois,56
Massachusetts,54
California,49
Virginia,42
