Category: All categories

Region,Eating disorder: (2019)
New Hampshire,100
Connecticut,94
Minnesota,90
Maine,90
Oregon,90
Rhode Island,88
Massachusetts,83
North Dakota,81
South Dakota,79
Vermont,79
Utah,75
Colorado,74
Montana,73
Wisconsin,73
Kansas,71
New York,70
Washington,70
Iowa,69
Idaho,68
Pennsylvania,68
Maryland,68
Indiana,67
Nebraska,66
Alaska,66
Kentucky,65
Missouri,65
California,63
Arizona,62
West Virginia,62
District of Columbia,62
Arkansas,62
North Carolina,61
New Jersey,61
Michigan,61
Virginia,61
Wyoming,60
Delaware,60
Ohio,59
Illinois,56
Oklahoma,56
Tennessee,55
South Carolina,55
New Mexico,55
Alabama,55
Nevada,52
Mississippi,49
Georgia,48
Texas,47
Louisiana,46
Florida,46
Hawaii,41
