Category: All categories

Region,Eating disorder: (2014)
Vermont,100
Maine,94
New Hampshire,92
Rhode Island,89
Connecticut,83
Massachusetts,80
Minnesota,79
North Dakota,75
Delaware,71
Nebraska,71
South Dakota,68
Iowa,67
Pennsylvania,66
Wisconsin,66
Idaho,65
West Virginia,65
Indiana,64
North Carolina,64
New Jersey,64
Utah,64
New York,64
Missouri,63
Ohio,62
Colorado,62
Montana,62
Maryland,60
Arkansas,59
South Carolina,59
Michigan,57
Washington,55
Arizona,55
Tennessee,54
California,54
New Mexico,53
Wyoming,52
Illinois,51
Kentucky,51
Alaska,50
Alabama,50
Nevada,49
District of Columbia,49
Kansas,48
Hawaii,48
Mississippi,44
Oklahoma,44
Oregon,43
Virginia,43
Florida,41
Georgia,41
Louisiana,40
Texas,36
