Category: All categories

Region,Eating disorder: (2008)
New Hampshire,100
North Dakota,79
Maine,75
Wisconsin,72
Iowa,71
Utah,69
Massachusetts,69
Vermont,68
Oregon,66
Connecticut,66
Rhode Island,66
South Carolina,65
New York,65
Pennsylvania,65
Montana,65
Minnesota,64
Idaho,64
Michigan,64
Maryland,63
Colorado,61
Arkansas,59
Indiana,58
District of Columbia,57
Arizona,56
Kansas,56
Illinois,56
Missouri,56
West Virginia,56
Kentucky,55
Ohio,55
North Carolina,55
South Dakota,55
New Jersey,54
Nevada,54
Alabama,53
Tennessee,51
Nebraska,51
Washington,49
New Mexico,49
Florida,48
Oklahoma,44
Hawaii,43
Georgia,42
Texas,41
Louisiana,41
California,39
Alaska,39
Delaware,38
Virginia,36
Wyoming,32
Mississippi,31
