Category: All categories

Region,Eating disorder: (2018)
Maine,100
Vermont,97
New Hampshire,96
Rhode Island,93
Connecticut,89
Minnesota,89
Massachusetts,85
Oregon,85
North Dakota,76
Kansas,75
Wisconsin,74
Iowa,73
Colorado,73
Utah,71
District of Columbia,70
New York,70
Missouri,68
West Virginia,67
Indiana,66
Washington,66
Delaware,66
Maryland,65
Pennsylvania,64
New Jersey,62
Kentucky,62
South Dakota,61
New Mexico,60
Montana,60
Virginia,60
Nebraska,59
North Carolina,59
Idaho,59
Arizona,58
California,57
Michigan,57
Ohio,57
Illinois,56
South Carolina,55
Arkansas,55
Oklahoma,54
Tennessee,53
Mississippi,52
Wyoming,52
Alaska,49
Alabama,49
Nevada,49
Hawaii,46
Georgia,46
Texas,45
Florida,43
Louisiana,42
