Category: All categories

Region,Eating disorder: (2016)
Rhode Island,100
New Hampshire,98
Maine,85
Massachusetts,79
Oregon,78
Connecticut,77
Minnesota,75
Vermont,69
Colorado,68
Missouri,66
Idaho,66
Utah,66
Pennsylvania,65
Nebraska,64
Indiana,64
Iowa,63
New Jersey,62
South Dakota,62
Arizona,62
North Dakota,61
Wisconsin,61
West Virginia,61
New York,60
Montana,60
Kansas,59
Maryland,59
Ohio,59
New Mexico,58
Oklahoma,57
North Carolina,56
Washington,55
Delaware,54
Virginia,54
Kentucky,53
Arkansas,52
California,52
Michigan,51
South Carolina,50
Tennessee,49
District of Columbia,49
Alabama,48
Alaska,47
Illinois,47
Louisiana,46
Mississippi,46
Wyoming,45
Nevada,43
Georgia,43
Hawaii,43
Texas,41
Florida,40
