Category: All categories

Region,Eating disorder: (2012)
Maine,100
Vermont,98
New Hampshire,94
North Dakota,92
Massachusetts,88
Connecticut,87
Iowa,87
Rhode Island,86
Minnesota,82
Delaware,82
Pennsylvania,82
South Dakota,81
Utah,78
New Jersey,78
Nebraska,77
Oregon,76
Montana,75
Wisconsin,73
Wyoming,70
Idaho,69
Colorado,68
Oklahoma,67
Missouri,67
Washington,66
Maryland,65
Indiana,64
New York,64
Kansas,63
Ohio,63
Michigan,62
Kentucky,62
Virginia,60
Tennessee,60
North Carolina,59
Alabama,59
California,58
Arizona,55
Nevada,55
South Carolina,55
West Virginia,54
Mississippi,54
Illinois,53
Arkansas,52
Florida,51
Alaska,50
Hawaii,50
New Mexico,49
Louisiana,49
Georgia,46
District of Columbia,46
Texas,39
