Category: All categories

Region,Eating disorder: (2021)
Vermont,100
Rhode Island,95
New Hampshire,94
Maine,86
Connecticut,81
Minnesota,80
Utah,79
Massachusetts,77
Oregon,76
North Dakota,72
Idaho,70
Pennsylvania,70
District of Columbia,70
Kansas,69
Wisconsin,69
Indiana,69
New York,68
Montana,68
California,68
Washington,68
Colorado,66
Kentucky,66
South Dakota,66
Missouri,65
Delaware,65
Iowa,65
New Mexico,65
Maryland,64
Nebraska,62
Ohio,62
Illinois,62
New Jersey,62
Virginia,61
Arizona,61
West Virginia,60
Oklahoma,60
Arkansas,58
Tennessee,56
Texas,56
Michigan,55
North Carolina,55
South Carolina,54
Wyoming,52
Nevada,52
Alabama,51
Louisiana,50
Hawaii,50
Florida,49
Alaska,49
Mississippi,49
Georgia,48
