Category: All categories

Region,Eating disorder: (2007)
Maine,100
Vermont,96
Iowa,91
Connecticut,91
Massachusetts,83
Rhode Island,82
Minnesota,81
Nebraska,77
Idaho,75
Washington,73
Michigan,72
Indiana,72
New York,71
Delaware,71
Pennsylvania,69
Tennessee,69
Utah,68
Mississippi,68
Kentucky,68
New Hampshire,67
New Jersey,67
Colorado,67
Maryland,67
South Dakota,66
Montana,65
North Carolina,63
Illinois,59
Missouri,59
Nevada,59
Kansas,58
Hawaii,57
Alabama,56
Ohio,56
District of Columbia,55
South Carolina,55
Oregon,54
California,53
Arizona,53
Virginia,53
Georgia,52
West Virginia,52
Florida,51
Oklahoma,49
Wyoming,49
Wisconsin,48
New Mexico,47
Texas,45
Arkansas,44
Louisiana,43
North Dakota,32
Alaska,28
