Category: All categories

Region,suicide: (2019)
Idaho,100
Utah,94
Wyoming,92
Kansas,87
New Mexico,86
Alaska,85
Colorado,84
New Hampshire,83
Vermont,83
Washington,82
Oregon,82
Nebraska,81
Missouri,81
Montana,80
Nevada,79
Kentucky,78
Ohio,78
South Dakota,77
Pennsylvania,77
Arizona,77
North Dakota,77
Maine,77
Indiana,76
California,76
Oklahoma,75
Connecticut,75
Virginia,74
West Virginia,74
Minnesota,74
Maryland,73
Tennessee,73
Massachusetts,72
Wisconsin,72
Illinois,71
Iowa,70
Michigan,70
North Carolina,70
Alabama,69
Louisiana,68
Georgia,67
Arkansas,67
Delaware,66
South Carolina,66
New York,66
Florida,66
Rhode Island,65
Mississippi,65
New Jersey,65
Texas,64
Hawaii,64
District of Columbia,62
