Category: All categories

Region,Narcissism: (2019)
Oregon,100
Alaska,94
Montana,94
Wyoming,94
Maine,91
Vermont,90
Utah,89
Minnesota,87
Washington,87
Idaho,85
Colorado,84
Arkansas,83
New Mexico,81
South Dakota,78
Delaware,77
New Hampshire,76
Wisconsin,74
Indiana,74
Kentucky,73
Oklahoma,73
California,72
Arizona,71
Kansas,71
Michigan,70
Alabama,69
Nebraska,69
District of Columbia,68
Virginia,68
North Carolina,68
Missouri,68
Maryland,68
Massachusetts,67
Georgia,67
Nevada,67
Pennsylvania,66
South Carolina,66
Connecticut,66
Illinois,66
Ohio,66
Hawaii,65
Iowa,63
Tennessee,61
Rhode Island,60
Louisiana,60
Mississippi,60
West Virginia,59
New Jersey,57
North Dakota,56
Texas,55
Florida,54
New York,54
