Category: All categories

Region,Narcissism: (2010)
Idaho,100
Mississippi,98
Oregon,88
Maine,86
Massachusetts,83
Louisiana,81
South Dakota,81
Maryland,78
Minnesota,77
Pennsylvania,77
Utah,77
Kansas,75
Colorado,74
North Dakota,73
Oklahoma,72
South Carolina,71
West Virginia,71
Montana,69
Washington,69
Connecticut,69
Alaska,69
Arizona,69
Tennessee,68
New York,68
Iowa,67
Missouri,66
Alabama,66
Ohio,65
District of Columbia,63
New Mexico,62
North Carolina,62
Illinois,62
New Jersey,61
Michigan,61
Hawaii,61
Indiana,59
Texas,57
Florida,57
Georgia,57
Wisconsin,55
Vermont,54
Nevada,52
Kentucky,52
Arkansas,51
Rhode Island,49
New Hampshire,46
California,44
Nebraska,42
Virginia,30
Wyoming,30
Delaware,
