Category: All categories

Region,Narcissism: (2018)
Maine,100
Utah,97
Alaska,96
Washington,95
Wyoming,93
New Hampshire,92
Rhode Island,92
Oregon,90
Montana,90
Vermont,88
New Mexico,86
Delaware,86
Arkansas,86
North Dakota,85
Idaho,84
Oklahoma,83
Connecticut,83
Colorado,83
South Dakota,80
Indiana,79
Nebraska,78
Arizona,78
Maryland,78
Iowa,78
Minnesota,77
Missouri,76
Kansas,76
California,74
Michigan,74
Pennsylvania,73
Mississippi,71
Virginia,71
District of Columbia,71
Hawaii,70
Alabama,70
Nevada,70
South Carolina,69
North Carolina,69
Tennessee,69
Massachusetts,68
Kentucky,68
Illinois,66
Wisconsin,66
Georgia,65
Louisiana,65
New Jersey,65
Ohio,64
New York,61
Florida,60
Texas,59
West Virginia,57
