Category: All categories

Region,Narcissism: (2009)
Alaska,100
Maine,74
Mississippi,73
Delaware,70
Connecticut,62
Kansas,62
Colorado,60
Oregon,60
Missouri,59
Idaho,59
Oklahoma,58
Vermont,57
North Dakota,57
Ohio,57
Wisconsin,56
South Carolina,56
New Mexico,56
Alabama,55
Indiana,54
Pennsylvania,54
Massachusetts,54
New Hampshire,54
New York,54
Utah,53
Minnesota,52
South Dakota,52
North Carolina,52
Illinois,52
Kentucky,51
Arkansas,51
Washington,50
Michigan,50
Arizona,50
Tennessee,49
Texas,49
District of Columbia,49
Georgia,48
Florida,47
New Jersey,46
Nevada,44
Maryland,41
California,36
Rhode Island,36
Nebraska,33
West Virginia,32
Louisiana,31
Wyoming,26
Hawaii,26
Iowa,24
Virginia,23
Montana,21
