Category: All categories

Region,Narcissism: (2017)
Utah,100
Washington,90
Oregon,86
Connecticut,85
Iowa,76
New Hampshire,75
South Dakota,72
Vermont,70
Colorado,70
Massachusetts,70
New Jersey,68
West Virginia,67
Wyoming,65
Maryland,64
Alaska,64
Idaho,63
Nevada,62
New York,62
California,59
Minnesota,58
South Carolina,57
Virginia,56
Rhode Island,55
Alabama,55
North Dakota,54
Maine,54
Arkansas,54
Missouri,54
Montana,54
Wisconsin,53
District of Columbia,53
Indiana,52
Michigan,52
North Carolina,52
New Mexico,52
Oklahoma,52
Tennessee,50
Illinois,49
Pennsylvania,49
Arizona,48
Delaware,48
Louisiana,48
Mississippi,47
Nebraska,47
Hawaii,46
Kansas,46
Kentucky,45
Ohio,45
Georgia,44
Florida,41
Texas,39
