Category: All categories

Region,Narcissism: (2004)
Mississippi,100
Rhode Island,76
West Virginia,69
North Dakota,56
Wyoming,44
New Mexico,32
Wisconsin,30
North Carolina,29
Indiana,27
Oregon,27
Arizona,25
Tennessee,25
Vermont,23
Maine,23
Alabama,23
Idaho,23
Connecticut,22
Nevada,20
District of Columbia,19
New York,19
Washington,19
Illinois,18
California,17
Massachusetts,17
Louisiana,17
New Jersey,17
Texas,17
Colorado,16
Virginia,15
Georgia,15
Florida,13
Kansas,13
Ohio,13
Maryland,12
Pennsylvania,12
Michigan,11
Missouri,11
Kentucky,11
Minnesota,10
Utah,8
Alaska,
Arkansas,
Delaware,
Hawaii,
Iowa,
Montana,
Nebraska,
New Hampshire,
Oklahoma,
South Carolina,
South Dakota,
