Category: All categories

Region,Narcissism: (2013)
New Mexico,100
Alaska,98
Utah,89
Nevada,80
Connecticut,80
Washington,76
New Hampshire,72
Montana,71
Idaho,69
Maine,65
Iowa,65
Colorado,64
Arkansas,62
Oregon,62
South Dakota,62
California,62
New Jersey,61
South Carolina,60
Vermont,57
Massachusetts,57
Rhode Island,56
New York,54
Maryland,53
Louisiana,53
Virginia,53
Kentucky,51
Mississippi,51
Tennessee,51
Minnesota,50
Wisconsin,50
West Virginia,50
Hawaii,49
Alabama,49
Pennsylvania,49
Indiana,49
Kansas,49
Missouri,49
Michigan,48
North Carolina,48
District of Columbia,48
North Dakota,48
Wyoming,47
Illinois,47
Oklahoma,47
Arizona,46
Ohio,45
Texas,44
Nebraska,43
Delaware,43
Georgia,42
Florida,40
