Category: All categories

Region,Narcissism: (2011)
Vermont,100
Delaware,96
Oregon,84
North Dakota,81
South Dakota,79
Montana,77
Utah,74
Colorado,69
Maine,67
Nebraska,67
Iowa,67
Idaho,66
Washington,65
New Mexico,65
Kentucky,62
Arizona,58
Virginia,58
Massachusetts,58
Kansas,58
Michigan,57
Hawaii,57
Missouri,56
Connecticut,55
Tennessee,55
Louisiana,54
Pennsylvania,54
Nevada,54
Minnesota,54
District of Columbia,53
Illinois,53
Rhode Island,53
Ohio,53
Indiana,53
Wisconsin,52
North Carolina,51
New York,51
Texas,50
New Jersey,50
Maryland,50
New Hampshire,48
Wyoming,48
South Carolina,48
Georgia,47
Alabama,47
California,46
Arkansas,46
Oklahoma,46
Florida,46
Mississippi,36
Alaska,31
West Virginia,30
