Category: All categories

Region,Narcissism: (2012)
New Mexico,100
Oregon,84
South Dakota,77
Montana,70
Delaware,63
Wyoming,60
Washington,59
South Carolina,57
Colorado,56
Utah,56
Alaska,55
Nebraska,55
Maine,55
Vermont,54
Virginia,53
Arkansas,52
Oklahoma,51
Connecticut,50
New Hampshire,50
Indiana,49
Minnesota,48
Idaho,48
Rhode Island,47
Nevada,47
North Carolina,47
Tennessee,47
Kentucky,45
Michigan,45
Massachusetts,45
California,44
Maryland,44
Pennsylvania,44
Ohio,43
New York,43
Alabama,41
Illinois,41
North Dakota,41
New Jersey,41
Iowa,41
Missouri,41
District of Columbia,40
Arizona,40
Texas,39
Wisconsin,39
Kansas,39
Florida,39
West Virginia,38
Georgia,37
Louisiana,37
Mississippi,33
Hawaii,30
