Category: All categories

Region,fast death: (2009)
Montana,
South Dakota,
Maine,
Hawaii,
Kentucky,100
Massachusetts,79
Kansas,79
New Hampshire,75
Louisiana,75
Arkansas,75
Wisconsin,75
Indiana,75
South Carolina,70
Minnesota,70
Oklahoma,70
Ohio,66
Nebraska,66
New Mexico,58
Nevada,58
Connecticut,58
Iowa,58
Georgia,54
Texas,54
Utah,54
Michigan,50
Pennsylvania,50
New York,45
District of Columbia,
Mississippi,45
New Jersey,45
Maryland,41
Missouri,41
Colorado,37
California,37
Illinois,37
Arizona,37
Virginia,33
Florida,33
Tennessee,29
North Carolina,29
Oregon,25
Alabama,25
Washington,8
Alaska,
Delaware,
Idaho,
North Dakota,
Rhode Island,
Vermont,
West Virginia,
Wyoming,
