Category: All categories

Region,fast death: (2017)
Wyoming,
Alaska,
Montana,
Vermont,
Idaho,100
Rhode Island,
South Dakota,
Indiana,82
Ohio,71
Kansas,71
South Carolina,71
Alabama,71
Arizona,71
Kentucky,71
Tennessee,67
Washington,67
Nevada,64
Iowa,64
Arkansas,64
Mississippi,64
Colorado,64
Maryland,64
Massachusetts,64
California,64
Oregon,60
Hawaii,
Florida,60
Virginia,60
New Jersey,60
Georgia,60
Texas,60
Minnesota,60
North Carolina,60
Illinois,60
Missouri,57
Pennsylvania,57
Michigan,57
Wisconsin,57
New York,57
Nebraska,57
New Mexico,53
Oklahoma,50
West Virginia,
Louisiana,46
Utah,46
Delaware,
North Dakota,
Connecticut,39
New Hampshire,35
District of Columbia,
Maine,
