Category: All categories

Region,fast death: (2008)
Vermont,
Arkansas,100
Idaho,45
Kansas,40
New Hampshire,36
Oregon,31
Connecticut,31
Illinois,25
Michigan,25
Florida,25
Missouri,25
Pennsylvania,22
Utah,22
New Jersey,22
New York,22
Texas,20
California,20
Indiana,20
Virginia,20
North Carolina,20
Ohio,18
Minnesota,18
Nevada,15
Arizona,15
Washington,15
Kentucky,15
District of Columbia,
Maryland,13
Massachusetts,11
Tennessee,11
Georgia,9
Alaska,
Alabama,
Colorado,
Delaware,
Hawaii,
Iowa,
Louisiana,
Maine,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Mexico,
Oklahoma,
Rhode Island,
South Carolina,
South Dakota,
Wisconsin,
West Virginia,
Wyoming,
