Category: All categories

Region,i want to die: (2018)
Utah,100
Oklahoma,95
Rhode Island,95
Kansas,92
Arizona,90
Indiana,88
Colorado,86
Idaho,86
Arkansas,85
New Mexico,85
Iowa,85
Michigan,85
Kentucky,84
Wisconsin,84
New Hampshire,83
Nebraska,82
Oregon,81
Pennsylvania,80
South Dakota,80
Missouri,79
Nevada,78
West Virginia,78
Tennessee,77
Ohio,76
Montana,76
Washington,74
Maine,73
South Carolina,73
Minnesota,73
Connecticut,72
Virginia,72
Massachusetts,71
Illinois,70
Hawaii,69
North Carolina,68
California,67
Texas,66
Mississippi,65
North Dakota,65
Alabama,64
Georgia,64
Florida,63
New Jersey,63
Louisiana,63
New York,62
Maryland,59
Delaware,53
District of Columbia,52
Alaska,
Wyoming,
Vermont,
