Category: All categories

Region,i want to die: (2008)
South Dakota,100
Hawaii,61
Rhode Island,54
Kansas,52
Nebraska,48
New Jersey,46
Washington,44
Michigan,44
Louisiana,43
Indiana,42
Nevada,41
New York,41
Connecticut,41
Missouri,40
Pennsylvania,39
South Carolina,39
Minnesota,39
Kentucky,37
North Carolina,37
Iowa,36
Massachusetts,36
New Hampshire,36
Maryland,36
Colorado,35
Oklahoma,35
Ohio,34
Wisconsin,34
New Mexico,33
Texas,32
Tennessee,32
California,29
West Virginia,29
Florida,29
Oregon,29
Utah,28
Montana,28
Arkansas,27
Maine,27
Virginia,26
Illinois,26
District of Columbia,26
Arizona,25
Mississippi,25
Georgia,25
Idaho,24
Alabama,22
Vermont,
Alaska,
North Dakota,
Delaware,
Wyoming,
