Category: All categories

Region,i want to die: (2016)
Maine,100
West Virginia,87
Indiana,79
Washington,77
Kentucky,77
Ohio,77
Colorado,74
Kansas,74
Arizona,74
Arkansas,73
Missouri,73
Michigan,73
Utah,72
Oklahoma,72
Maryland,72
New Jersey,71
Massachusetts,71
Tennessee,71
Oregon,71
Iowa,70
New Hampshire,70
New Mexico,70
Alabama,69
Pennsylvania,69
South Dakota,68
Connecticut,68
Idaho,68
North Carolina,67
Louisiana,64
Illinois,64
Nebraska,64
Nevada,63
Wisconsin,63
Virginia,62
Rhode Island,62
Minnesota,61
South Carolina,60
Texas,60
California,59
New York,59
Mississippi,58
Florida,58
Georgia,55
Montana,54
Hawaii,50
District of Columbia,45
Delaware,42
North Dakota,41
Alaska,
Vermont,
Wyoming,
