Category: All categories

Region,i want to die: (2020)
Utah,100
Oregon,91
New Hampshire,88
South Dakota,87
Minnesota,84
Oklahoma,83
Maine,82
Colorado,80
Arizona,80
Idaho,79
Montana,79
Indiana,78
Kansas,78
West Virginia,76
Washington,75
Iowa,74
Rhode Island,73
Kentucky,73
North Carolina,72
Alabama,72
Ohio,72
Connecticut,71
Massachusetts,70
Pennsylvania,70
Michigan,70
Nevada,70
South Carolina,69
Maryland,69
Mississippi,68
New Mexico,68
Missouri,68
Wisconsin,68
Illinois,67
Nebraska,66
Tennessee,66
Texas,65
New Jersey,65
California,64
Virginia,64
Louisiana,63
Arkansas,63
North Dakota,62
New York,61
Florida,60
Georgia,60
Delaware,59
Hawaii,57
District of Columbia,47
Vermont,
Alaska,
Wyoming,
