Category: All categories

Region,i want to die: (2012)
New Mexico,100
West Virginia,85
Rhode Island,80
Maine,80
New Hampshire,78
Kentucky,76
Arizona,72
Pennsylvania,71
Mississippi,70
Utah,69
Alabama,68
Nebraska,68
Washington,67
Kansas,67
Oregon,66
Wisconsin,66
Virginia,65
Indiana,64
Iowa,64
Michigan,64
Hawaii,63
New Jersey,62
Missouri,62
Colorado,62
Connecticut,62
Georgia,60
Illinois,60
Ohio,59
Tennessee,59
Florida,59
New York,58
Nevada,58
California,58
South Carolina,56
Massachusetts,55
Minnesota,55
Delaware,54
North Carolina,53
Maryland,52
Louisiana,52
District of Columbia,51
Idaho,50
Texas,50
Oklahoma,47
North Dakota,46
Arkansas,37
South Dakota,33
Alaska,
Vermont,
Montana,
Wyoming,
