Category: All categories

Region,i want to die: (2015)
South Dakota,100
Idaho,100
Delaware,93
West Virginia,93
Rhode Island,89
Utah,85
Alabama,85
Montana,84
Iowa,83
Nevada,82
South Carolina,82
Massachusetts,80
Minnesota,79
Kentucky,79
Colorado,79
Ohio,78
New Jersey,78
Arkansas,78
Nebraska,77
Indiana,77
Pennsylvania,76
Wisconsin,76
Maine,76
Illinois,74
Michigan,74
New Hampshire,74
Washington,73
Tennessee,73
North Dakota,72
Georgia,72
Arizona,72
Missouri,70
Louisiana,69
New Mexico,69
Hawaii,67
North Carolina,67
California,66
Virginia,64
Texas,64
Oregon,63
Maryland,62
Florida,62
District of Columbia,62
New York,62
Mississippi,58
Kansas,55
Connecticut,52
Oklahoma,50
Alaska,
Vermont,
Wyoming,
