Category: All categories

Region,i want to die: (2013)
West Virginia,100
Rhode Island,88
Utah,76
Nebraska,72
Kentucky,71
New Mexico,70
Massachusetts,69
Pennsylvania,67
Arizona,67
Mississippi,67
South Dakota,65
Alabama,64
Virginia,64
Nevada,64
Iowa,64
Michigan,63
Oklahoma,63
New Jersey,63
Indiana,63
Ohio,62
Wisconsin,61
Colorado,60
Washington,60
Illinois,59
California,59
Florida,59
New York,58
New Hampshire,57
Connecticut,57
Texas,56
Maryland,56
Maine,55
Louisiana,55
Missouri,55
Kansas,54
North Carolina,53
Oregon,53
Tennessee,53
Minnesota,51
Georgia,51
Montana,51
Arkansas,45
North Dakota,45
Delaware,44
South Carolina,44
Idaho,42
Hawaii,36
District of Columbia,34
Vermont,
Wyoming,
Alaska,
