Category: All categories

Region,i want to die: (2021)
West Virginia,100
New Mexico,94
Maine,89
Idaho,88
Oregon,81
Utah,80
Rhode Island,78
Colorado,75
Washington,75
New Hampshire,74
Nebraska,72
Kansas,70
Michigan,67
Arizona,67
Missouri,67
Kentucky,67
Wisconsin,65
Minnesota,65
Indiana,64
Tennessee,63
Virginia,63
Nevada,63
Massachusetts,63
North Dakota,63
Montana,63
Delaware,62
Oklahoma,62
Ohio,61
Pennsylvania,61
Maryland,61
South Carolina,61
Illinois,59
Iowa,58
Texas,58
California,58
North Carolina,58
Georgia,54
Mississippi,53
New Jersey,53
Alabama,53
Arkansas,52
Connecticut,51
Louisiana,49
Florida,48
South Dakota,48
New York,47
District of Columbia,45
Hawaii,41
Vermont,
Alaska,
Wyoming,
