Category: All categories

Region,coming out: (2009)
Rhode Island,100
South Dakota,94
Louisiana,92
Kentucky,90
Arkansas,89
Nevada,88
South Carolina,87
Utah,87
Connecticut,86
New York,85
Mississippi,85
Michigan,84
Indiana,84
Delaware,83
West Virginia,82
Tennessee,82
Texas,82
Florida,81
Hawaii,80
Alabama,80
Missouri,79
Oklahoma,79
New Jersey,78
Arizona,77
North Dakota,77
Kansas,75
Ohio,75
North Carolina,75
Nebraska,74
Pennsylvania,73
New Mexico,71
Georgia,71
Maryland,70
District of Columbia,69
Wisconsin,69
Oregon,69
Maine,69
Washington,69
Idaho,68
Minnesota,68
New Hampshire,68
Illinois,67
Iowa,67
Massachusetts,66
Vermont,65
Wyoming,64
Colorado,64
Alaska,62
California,57
Montana,54
Virginia,38
