Category: All categories

Region,coming out: (2011)
Rhode Island,100
New Jersey,99
West Virginia,97
Nevada,97
Texas,95
Pennsylvania,94
Louisiana,94
North Dakota,93
New York,92
Arkansas,92
Mississippi,91
Utah,91
Idaho,90
Illinois,89
Iowa,89
Michigan,89
Kentucky,88
Florida,88
California,88
Oklahoma,87
Ohio,87
South Carolina,87
Delaware,86
Kansas,86
New Hampshire,86
Massachusetts,86
Virginia,85
Alabama,84
South Dakota,84
North Carolina,84
Hawaii,82
Connecticut,82
Minnesota,81
Wyoming,80
Arizona,80
Indiana,79
Georgia,79
Maryland,79
Maine,78
Missouri,76
Tennessee,76
New Mexico,75
Nebraska,74
Alaska,73
Washington,73
Wisconsin,70
Vermont,69
Montana,69
Colorado,65
Oregon,65
District of Columbia,63
