Category: All categories

Region,coming out: (2019)
Utah,100
Indiana,85
Arkansas,84
Arizona,83
Texas,83
Missouri,83
Alabama,82
Michigan,81
West Virginia,80
Wyoming,80
Oklahoma,80
Ohio,79
Minnesota,79
Louisiana,79
Tennessee,78
Kentucky,78
Mississippi,78
Iowa,77
Illinois,77
North Dakota,77
North Carolina,77
South Carolina,75
Kansas,75
California,74
Pennsylvania,74
Connecticut,73
Nevada,73
Georgia,73
Rhode Island,73
South Dakota,73
Wisconsin,72
Delaware,72
Florida,71
Nebraska,71
Montana,71
Idaho,71
Maine,70
Colorado,70
New Jersey,70
Virginia,69
Oregon,69
New Mexico,69
New Hampshire,69
Vermont,69
Alaska,68
New York,68
Washington,67
Massachusetts,66
Maryland,66
Hawaii,58
District of Columbia,45
